station;latitude;longitude
Bukowice Trzebnickie;51.399734487746066;17.36843313302077
Bukowiec;52.385478093565844;15.705989625551512
Bukowiec Międzyrzecki;52.385;15.7061
Bukowiec Świecki;53.42861111;18.234166666
Bukowina Sycowska;51.388176026679105;17.583369392173804
Bukowina Sycowska (stacja kolejowa);51.388000000000005;17.5836
Bukownica Wielkopolska;51.47755;18.050146
Bukowno;50.263000000000005;19.4617
Bukowno ;50.26431350817335;19.459602700414752
Bukowno LHS;50.263999999999996;19.4617
Bukowno Przymiarki;50.275;19.4106
Bukowo;50.89630990604331;18.106895429781453
Bukowo Białogardzkie;53.976000000000006;16.2411
Bukowo Człuchowskie;53.57303937935069;17.3715585708483
Bukowo Krąpiel;53.11;16.1826
Bukowo Sławieńskie;54.176;16.5939
Buksztel;53.295;23.2969
Bukwałd;53.86832109256538;20.37968909994686
Bukwałd (przystanek kolejowy);53.868;20.3797
Bukwno Przymiarki;50.27536188626944;19.40929363587218
Buków Jodłów;50.411;17.2261
Bukówko (przystanek kolejowy);53.985;16.1958
Bulowice;49.87627952703792;19.28976082384152
Burgrabice;50.341120000000004;17.287503
Burkat;53.27525605196304;20.135252924575006
Burowo;53.588;14.9633
Bursztynowo;53.401359313663995;19.069977446353832
Bursztynowo (przystanek kolejowy);53.401;19.0697
Busko-Zdrój;50.461000000000006;20.6853
Buszkowo (przystanek kolejowy);53.352;17.885
Buszynko Kraińskie;53.982;16.6453
Bułaków (stacja kolejowa);51.825;17.2944
Byczyna Kluczborska;51.11394225904995;18.200033245267914
Bydgoszcz - Emilianowo;53.0594381455041;18.0897483935038
Bydgoszcz - Osowa Góra;53.14782575883813;17.91316233554495
Bydgoszcz Akademia;53.141000000000005;18.1389
Bydgoszcz Akademia ;53.14064311466246;18.1366569141441
Bydgoszcz Bielawy;53.13198238349626;18.053063369301725
Bydgoszcz Brdyujście;53.13349735271135;18.110991912016786
Bydgoszcz Emilianowo;53.058;18.0899
Bydgoszcz Fordon;53.14653285354308;18.157846199813736
Bydgoszcz Główna;53.134890820558155;17.99111066321915
Bydgoszcz Leśna;53.14410544143614;18.031523406942007
Bydgoszcz Osowa Góra;53.148;17.9125
Bydgoszcz Rynkowo;53.17175676676281;18.0043304149287
Bydgoszcz Wschód;53.12784728278571;18.08570202162076
Bydgoszcz Wąskotorowa;53.135;17.9506
Bydgoszcz Zachód;53.1361127874763;17.948701228308202
Bydgoszcz Łęgnowo;53.107344342388295;18.112793574753486
Bydgoszcz Żółwin;53.063;18.1244
Bylice;52.70676529228673;20.747898099950934
Bystra Gdańska;54.28;18.7311
Bystra Mała;54.276;18.7378
Bystra Podhalańska;49.65865098291086;19.787188107792424
Bystra Wielka;54.3063;18.800361
Bystrze;54.042;18.8581
Bystrzyca;51.348383201708145;22.637670225883518
Bystrzyca Kłodzka;50.29689244392002;16.65501624184694
Bystrzyca Kłodzka - Przedmieście;50.28584137590771;16.647039616672114
Bystrzyca Kłodzka Przedmieście;50.28;16.6467
Bystrzyca koło Lublina;51.347;22.6358
Bytków;50.31100000000001;19.005
Bytnica;52.13139269286042;15.14801461517931
Bytom;50.342913159395344;18.91529081365062
Bytom Bobrek;50.344187206181324;18.878121279296373
Bytom Karb;50.3519587590779;18.881951296358167
Bytom Karb Wąsk.;50.349460751987294;18.884883751712252
Bytom Karb Wąskotorowy;50.35;18.8839
Bytom Odrzański;51.72632522236686;15.82176048833642
Bytom Północny;50.37792588048372;18.880436152164915
Bytom Szombierki;50.34416800291803;18.892686766300237
Bytom Wąsk.;50.34305382284234;18.913892366100708
Bytom Wąskotorowy;50.342;18.9128
Bytonia;53.93178977517882;18.267312372241236
Bytonia (przystanek kolejowy);53.928000000000004;18.2567
Bytowo Wąskotorowe;53.343;15.5397
Bytów;54.162;17.486111111
Bzowiec;54.02009299822088;20.315851672094254
Bzowiec (przystanek kolejowy);54.018;20.3164
Bzowo Goraj;52.861000000000004;16.4819
Bąblin (przystanek kolejowy);52.68;16.7178
Bączek;54.028;18.4508
Bączew (przystanek kolejowy);51.943000000000005;17.6517
Bąk;53.94434060318408;18.0265392461008
Bąkowice;51.517527287815625;21.724301589692
Bąkowiec;51.516999999999996;21.7236
Bąków;50.95655047728435;18.31279940040065
Bąków (stacja kolejowa);50.956;18.3142
Będargowiec (przystanek kolejowy);53.011;15.3881
Będargowo (przystanek kolejowy);53.023;15.3733
Będargowo Wąskotorowe;53.386;14.4442
Będlino;53.442;16.1703
Będziechowo (przystanek kolejowy);54.60083;17.291667
Będziemyśl;50.06656800099409;21.77388098535347
Będziemyśl (przystanek kolejowy);50.066;21.7753
Będzin;50.30922478334574;19.14130188577679
Będzin Grodziec;50.39;18.8883
Będzin Ksawera;50.33;19.1575
Będzin Miasto;50.318999999999996;19.1356
Będzin Łagisza;50.39;18.8883
Będzin-Ksawera;50.33048031634484;19.158090793676127
Będzin-Miasto;50.31913348691057;19.1356082115542
Będzino (przystanek kolejowy);54.211000000000006;15.9919
Będzmierowice;53.787918189365854;18.042838390672625
Będźmirowice;53.787;18.0458
Błaskowizna;54.24361111;22.796111111
Błaszki;51.67382221017256;18.470902641575023
Błaszki Wąskotorowe;51.257;19.1672
Błaziny;51.141000000000005;21.2333
Błażkowa;50.74428124781;15.990093322332289
Błażkowa (przystanek kolejowy);50.744;15.99
Błonie;52.18654170055133;20.607686702963008
Błotnica;51.99285394541485;16.300520251269074
Błotnica Przećmino;54.118;15.5494
Błotnica Strzelecka;50.48408406905219;18.40357266813291
Błotnik;54.286;18.9103
Błądkowo (przystanek kolejowy);53.608000000000004;15.2578
Błądzim;53.475;18.1156
Błąkały (stacja kolejowa);54.288000000000004;22.5539
Cecenowo (stacja kolejowa);54.64083;17.539167
Cedry Małe;54.275;18.8742
